kind,note_id,movement,page,system,bar,group,onset_ticks,duration_ticks,rest_bars,pitch,midi,tie_to_next,tie_from_previous
note,tb2-p08-s08-n023,4,8,8,109,7,868,2,,B3,59,False,
note,tb2-p08-s08-n024,4,8,8,109,7,870,2,,C4,60,False,
note,tb2-p08-s09-n001,4,8,9,110,1,872,2,,B3,59,False,
rest,,4,8,9,110,1,874,2,,,,,
rest,,4,8,9,110,1,876,4,,,,,
rest,,4,8,9,111,2,880,80,10,,,,
rest,,4,8,9,121,3,960,32,4,,,,
rest,,4,8,9,125,4,992,16,2,,,,
note,tb2-p08-s09-n002,4,8,9,127,5,1008,2,,Eb3,51,False,
rest,,4,8,9,127,5,1010,2,,,,,
note,tb2-p08-s09-n003,4,8,9,127,5,1012,2,,Eb3,51,False,
rest,,4,8,9,127,5,1014,2,,,,,
note,tb2-p08-s09-n004,4,8,9,128,6,1016,2,,Eb3,51,False,
rest,,4,8,9,128,6,1018,2,,,,,
rest,,4,8,9,128,6,1020,4,,,,,
note,tb2-p08-s09-n005,4,8,9,129,7,1024,2,,C3,48,False,
rest,,4,8,9,129,7,1026,2,,,,,
note,tb2-p08-s09-n006,4,8,9,129,7,1028,2,,C3,48,False,
rest,,4,8,9,129,7,1030,2,,,,,
note,tb2-p08-s09-n007,4,8,9,130,8,1032,4,,C3,48,False,
rest,,4,8,9,130,8,1036,4,,,,,
note,tb2-p08-s10-n001,4,8,10,131,1,1040,2,,G3,55,False,
rest,,4,8,10,131,1,1042,2,,,,,
note,tb2-p08-s10-n002,4,8,10,131,1,1044,2,,G3,55,False,
rest,,4,8,10,131,1,1046,2,,,,,
note,tb2-p08-s10-n003,4,8,10,132,2,1048,2,,C4,60,False,
rest,,4,8,10,132,2,1050,2,,,,,
rest,,4,8,10,132,2,1052,4,,,,,
rest,,4,8,10,133,3,1056,88,11,,,,
rest,,4,8,10,144,4,1144,8,1,,,,
rest,,4,8,10,145,5,1152,32,4,,,,
rest,,4,8,11,149,1,1184,8,1,,,,
rest,,4,8,11,150,2,1192,80,10,,,,
rest,,4,8,11,160,3,1272,56,7,,,,
rest,,4,9,1,167,1,1328,4,,,,,
rest,,4,9,1,167,1,1332,2,,,,,
note,tb2-p09-s01-n001,4,9,1,167,1,1334,2,,C4,60,False,
note,tb2-p09-s01-n002,4,9,1,168,2,1336,4,,C4,60,False,
note,tb2-p09-s01-n003,4,9,1,168,2,1340,4,,Eb4,63,False,
note,tb2-p09-s01-n004,4,9,1,169,3,1344,4,,C4,60,False,
rest,,4,9,1,169,3,1348,2,,,,,
note,tb2-p09-s01-n005,4,9,1,169,3,1350,2,,Eb4,63,False,
note,tb2-p09-s01-n006,4,9,1,170,4,1352,2,,C4,60,False,
note,tb2-p09-s01-n007,4,9,1,170,4,1354,2,,C4,60,False,
note,tb2-p09-s01-n008,4,9,1,170,4,1356,2,,Eb4,63,False,
note,tb2-p09-s01-n009,4,9,1,170,4,1358,2,,Eb4,63,False,
note,tb2-p09-s01-n010,4,9,1,171,5,1360,4,,B3,59,False,
rest,,4,9,1,171,5,1364,2,,,,,
note,tb2-p09-s01-n011,4,9,1,171,5,1366,2,,D4,62,False,
note,tb2-p09-s01-n012,4,9,1,172,6,1368,4,,B3,59,False,
note,tb2-p09-s01-n013,4,9,1,172,6,1372,4,,D4,62,False,
note,tb2-p09-s01-n014,4,9,1,173,7,1376,4,,B3,59,False,
rest,,4,9,1,173,7,1380,2,,,,,
note,tb2-p09-s01-n015,4,9,1,173,7,1382,2,,D4,62,False,
note,tb2-p09-s01-n016,4,9,1,174,8,1384,2,,B3,59,False,
note,tb2-p09-s01-n017,4,9,1,174,8,1386,2,,B3,59,False,
note,tb2-p09-s01-n018,4,9,1,174,8,1388,2,,D4,62,False,
note,tb2-p09-s01-n019,4,9,1,174,8,1390,2,,D4,62,False,
note,tb2-p09-s01-n020,4,9,1,175,9,1392,4,,Bb3,58,False,
rest,,4,9,1,175,9,1396,2,,,,,
note,tb2-p09-s01-n021,4,9,1,175,9,1398,2,,Db4,61,False,
note,tb2-p09-s02-n001,4,9,2,176,1,1400,4,,Bb3,58,False,
note,tb2-p09-s02-n002,4,9,2,176,1,1404,4,,Db4,61,False,
note,tb2-p09-s02-n003,4,9,2,177,2,1408,4,,Bb3,58,False,
rest,,4,9,2,177,2,1412,2,,,,,
note,tb2-p09-s02-n004,4,9,2,177,2,1414,2,,Db4,61,False,
note,tb2-p09-s02-n005,4,9,2,178,3,1416,2,,Bb3,58,False,
note,tb2-p09-s02-n006,4,9,2,178,3,1418,2,,Bb3,58,False,
note,tb2-p09-s02-n007,4,9,2,178,3,1420,2,,Db4,61,False,
note,tb2-p09-s02-n008,4,9,2,178,3,1422,2,,Db4,61,False,
note,tb2-p09-s02-n009,4,9,2,179,4,1424,2,,F3,53,False,
rest,,4,9,2,179,4,1426,2,,,,,
rest,,4,9,2,179,4,1428,4,,,,,
rest,,4,9,2,180,5,1432,56,7,,,,
rest,,4,9,2,187,6,1488,32,4,,,,
rest,,4,9,2,191,7,1520,16,2,,,,
rest,,4,9,3,193,1,1536,16,2,,,,
note,tb2-p09-s03-n001,4,9,3,195,2,1552,2,,A3,57,False,
rest,,4,9,3,195,2,1554,2,,,,,
rest,,4,9,3,195,2,1556,4,,,,,
note,tb2-p09-s03-n002,4,9,3,196,3,1560,2,,A#3,58,False,
rest,,4,9,3,196,3,1562,2,,,,,
rest,,4,9,3,196,3,1564,4,,,,,
note,tb2-p09-s03-n003,4,9,3,197,4,1568,2,,F#3,54,False,
rest,,4,9,3,197,4,1570,2,,,,,
rest,,4,9,3,197,4,1572,4,,,,,
note,tb2-p09-s03-n004,4,9,3,198,5,1576,2,,G#3,56,False,
rest,,4,9,3,198,5,1578,2,,,,,
rest,,4,9,3,198,5,1580,4,,,,,
note,tb2-p09-s03-n005,4,9,3,199,6,1584,2,,A3,57,False,
rest,,4,9,3,199,6,1586,2,,,,,
rest,,4,9,3,199,6,1588,4,,,,,
note,tb2-p09-s03-n006,4,9,3,200,7,1592,2,,A3,57,False,
rest,,4,9,3,200,7,1594,2,,,,,
note,tb2-p09-s03-n007,4,9,3,200,7,1596,2,,G#3,56,False,
rest,,4,9,3,200,7,1598,2,,,,,
note,tb2-p09-s03-n008,4,9,3,201,8,1600,2,,A3,57,False,
rest,,4,9,3,201,8,1602,2,,,,,
rest,,4,9,3,201,8,1604,4,,,,,
rest,,4,9,4,202,1,1608,40,5,,,,
rest,,4,9,4,207,2,1648,80,10,,,,
rest,,4,9,4,217,3,1728,48,6,,,,
rest,,4,9,4,223,4,1776,64,8,,,,
rest,,4,9,4,231,5,1840,4,,,,,
note,tb2-p09-s04-n001,4,9,4,231,5,1844,4,,D4,62,False,
note,tb2-p09-s05-n001,4,9,5,232,1,1848,6,,D4,62,False,
note,tb2-p09-s05-n002,4,9,5,232,1,1854,2,,D4,62,False,
rest,,4,9,5,233,2,1856,4,,,,,
note,tb2-p09-s05-n003,4,9,5,233,2,1860,2,,C4,60,False,
note,tb2-p09-s05-n004,4,9,5,233,2,1862,2,,D4,62,False,
note,tb2-p09-s05-n005,4,9,5,234,3,1864,4,,E4,64,False,
note,tb2-p09-s05-n006,4,9,5,234,3,1868,4,,C4,60,False,
rest,,4,9,5,235,4,1872,112,14,,,,
